"Num_Acc","an","mois","jour","lum","agg","dep"
"201800000168",18,10,10,"1","2",590
"201800000169",18,2,16,"1","1",620
"201800000170",18,3,7,"2","1",620
"201800000171",18,6,13,"4","1",620
"201800000172",18,8,19,"1","1",620
"201800000173",18,10,11,"1","1",620
"201800000174",18,12,11,"3","1",620
"201800000175",18,4,15,"1","1",620
"201800000176",18,4,15,"1","1",620
"201800000177",18,4,24,"1","1",620
"201800000178",18,8,4,"1","1",620
"201800000179",18,8,26,"2","1",620
"201800000180",18,8,27,"1","2",620
"201800000181",18,9,19,"1","2",620
"201800000182",18,9,25,"1","1",620
"201800000183",18,10,11,"1","1",620
"201800000184",18,11,25,"3","1",620
"201800000185",18,11,27,"5","2",620
"201800000186",18,2,16,"1","1",620
"201800000187",18,2,16,"1","2",620
"201800000188",18,3,29,"1","2",620
"201800000189",18,9,27,"1","2",620
"201800000190",18,10,29,"3","1",620
"201800000191",18,3,2,"1","1",620
"201800000192",18,7,28,"1","2",620
"201800000193",18,8,5,"1","1",620
"201800000194",18,10,21,"1","1",620
"201800000195",18,10,22,"2","2",620
"201800000196",18,11,5,"5","2",620
"201800000197",18,11,10,"5","2",620
"201800000198",18,11,24,"1","2",620
"201800000199",18,4,9,"1","1",620
"201800000200",18,5,4,"1","1",620
"201800000201",18,8,15,"1","2",620
"201800000202",18,9,15,"1","2",620
"201800000203",18,4,18,"1","2",620
"201800000204",18,7,13,"1","2",620
"201800000205",18,8,24,"1","2",620
"201800000206",18,8,11,"1","1",620
"201800000207",18,9,29,"2","2",620
"201800000208",18,11,17,"1","2",620
"201800000209",18,2,4,"1","2",620
"201800000210",18,3,7,"2","2",620
"201800000211",18,4,5,"1","2",620
"201800000212",18,6,10,"1","1",620
"201800000213",18,6,14,"1","2",620
"201800000214",18,6,21,"1","2",620
"201800000215",18,7,9,"2","2",620
"201800000216",18,10,17,"1","1",620
"201800000217",18,10,24,"1","2",620
"201800000218",18,10,29,"2","1",620
"201800000219",18,11,16,"1","2",620
"201800000220",18,11,24,"3","2",620
"201800000221",18,3,1,"1","1",800
"201800000222",18,4,11,"1","2",800
"201800000223",18,6,7,"1","2",800
"201800000224",18,6,10,"1","2",800
"201800000225",18,6,25,"2","1",800
"201800000226",18,7,16,"1","2",800
"201800000227",18,8,1,"1","1",800
"201800000228",18,8,14,"1","1",800
"201800000229",18,10,4,"1","1",800
"201800000230",18,10,14,"1","2",800
"201800000231",18,11,3,"2","2",800
"201800000232",18,1,2,"2","1",800
"201800000233",18,3,31,"1","1",800
"201800000234",18,6,3,"1","2",800
"201800000235",18,7,7,"2","2",800
"201800000236",18,7,23,"1","2",800
"201800000237",18,1,25,"1","1",20
"201800000238",18,4,3,"1","1",20
"201800000239",18,4,24,"1","1",20
"201800000240",18,8,25,"2","2",20
"201800000241",18,10,19,"2","1",20
"201800000242",18,11,23,"2","1",20
"201800000243",18,12,7,"1","1",20
"201800000244",18,1,10,"1","1",20
"201800000245",18,4,15,"1","1",20
"201800000246",18,4,17,"1","1",20
"201800000247",18,4,21,"1","2",20
"201800000248",18,5,2,"1","1",20
"201800000249",18,6,5,"1","1",20
"201800000250",18,7,8,"1","2",20
"201800000251",18,9,26,"2","1",20
"201800000252",18,9,27,"1","1",20
"201800000253",18,9,27,"1","1",20
"201800000254",18,10,2,"3","1",20
"201800000255",18,10,4,"1","1",20
"201800000256",18,10,17,"3","1",20
"201800000257",18,1,10,"5","2",20
"201800000258",18,3,25,"1","2",20
"201800000259",18,5,3,"1","2",20
"201800000260",18,6,3,"1","1",20
"201800000261",18,6,8,"1","2",20
"201800000262",18,7,24,"1","2",20
"201800000263",18,8,12,"1","1",20
"201800000264",18,10,4,"1","2",20
"201800000265",18,11,23,"1","2",20
"201800000266",18,1,12,"2","2",600
"201800000267",18,1,11,"2","1",600
"201800000268",18,1,21,"1","1",600
"201800000269",18,2,16,"3","1",600
"201800000270",18,11,21,"1","1",600
"201800000271",18,12,9,"3","1",600
"201800000272",18,1,27,"2","1",600
"201800000273",18,5,3,"1","1",600
"201800000274",18,7,4,"1","1",600
"201800000275",18,7,11,"1","1",600
"201800000276",18,7,17,"1","2",600
"201800000277",18,7,22,"1","1",600
"201800000278",18,9,14,"1","2",600
"201800000279",18,10,3,"1","2",600
"201800000280",18,7,7,"1","1",600
"201800000281",18,9,11,"1","2",600
"201800000282",18,9,21,"1","2",600
"201800000283",18,7,15,"1","2",600
"201800000284",18,8,8,"1","1",600
"201800000285",18,8,10,"1","1",600
"201800000286",18,9,16,"5","2",600
"201800000287",18,9,17,"2","1",600
"201800000288",18,9,19,"2","2",600
"201800000289",18,9,26,"1","1",600
"201800000290",18,12,29,"3","1",600
"201800000291",18,1,28,"5","2",600
"201800000292",18,2,2,"3","1",600
"201800000293",18,2,2,"1","1",600
"201800000294",18,10,13,"1","2",600
"201800000295",18,12,17,"1","1",600
"201800000296",18,1,19,"5","2",570
"201800000297",18,8,28,"3","1",570
"201800000298",18,10,5,"1","2",570
"201800000299",18,10,7,"1","1",570
"201800000300",18,10,15,"5","2",570
"201800000301",18,1,7,"1","2",600
"201800000302",18,2,24,"5","2",600
"201800000303",18,4,18,"1","2",600
"201800000304",18,4,19,"1","2",600
"201800000305",18,4,19,"1","1",600
"201800000306",18,6,6,"1","2",600
"201800000307",18,7,25,"1","1",600
"201800000308",18,10,18,"3","1",600
"201800000309",18,2,16,"5","1",600
"201800000310",18,2,25,"5","2",600
"201800000311",18,4,11,"1","1",600
"201800000312",18,2,25,"5","2",600
"201800000313",18,6,12,"2","1",600
"201800000314",18,7,3,"1","2",600
"201800000315",18,7,11,"1","2",600
"201800000316",18,10,14,"2","1",600
"201800000317",18,10,20,"1","2",600
"201800000318",18,10,25,"1","1",600
"201800000319",18,11,17,"1","1",600
"201800000320",18,11,22,"3","1",600
"201800000321",18,11,24,"2","1",600
"201800000322",18,12,14,"3","1",600
"201800000323",18,2,20,"5","2",600
"201800000324",18,3,5,"1","2",600
"201800000325",18,6,13,"1","2",600
"201800000326",18,7,18,"1","1",600
"201800000327",18,9,12,"1","1",600
"201800000328",18,9,16,"5","2",600
"201800000329",18,11,22,"3","1",600
"201800000330",18,12,1,"3","1",600
"201800000331",18,12,2,"1","1",600
"201800000332",18,11,23,"2","2",600
"201800000333",18,12,2,"2","1",600
"201800000334",18,12,21,"1","1",600
"201800000335",18,1,2,"2","1",600
"201800000336",18,2,14,"5","2",600
"201800000337",18,2,16,"1","1",600
"201800000338",18,5,8,"1","1",600
"201800000339",18,7,14,"3","1",600
"201800000340",18,7,19,"2","1",600
"201800000341",18,8,13,"1","1",600
"201800000342",18,9,4,"1","1",600
"201800000343",18,9,8,"1","1",600
"201800000344",18,10,7,"1","1",600
"201800000345",18,11,7,"1","2",600
"201800000346",18,12,13,"2","1",600
"201800000347",18,12,25,"3","1",600
"201800000348",18,2,1,"1","2",760
"201800000349",18,3,23,"1","2",760
"201800000350",18,4,28,"5","2",760
"201800000351",18,6,17,"3","1",760
"201800000352",18,10,23,"1","2",760
"201800000353",18,10,26,"2","1",760
"201800000354",18,10,27,"3","2",760
"201800000355",18,1,29,"1","1",760
"201800000356",18,6,21,"1","1",760
"201800000357",18,8,18,"1","1",760
"201800000358",18,8,21,"1","1",760
"201800000359",18,8,31,"1","1",760
"201800000360",18,9,1,"5","2",760
"201800000361",18,10,9,"1","1",760
"201800000362",18,1,6,"1","1",760
"201800000363",18,3,23,"1","1",760
"201800000364",18,4,9,"1","2",760
"201800000365",18,9,24,"1","1",760
"201800000366",18,10,26,"1","2",760
"201800000367",18,11,6,"3","1",760
"201800000368",18,11,28,"5","2",760
"201800000369",18,12,11,"3","1",760
"201800000370",18,2,23,"1","1",760
"201800000371",18,3,6,"2","1",760
"201800000372",18,3,12,"1","1",760
"201800000373",18,5,14,"1","2",760
"201800000374",18,8,8,"1","2",760
"201800000375",18,10,6,"1","1",760
"201800000376",18,11,6,"5","2",760
"201800000377",18,4,11,"3","1",760
"201800000378",18,4,13,"1","1",760
"201800000379",18,6,2,"2","1",760
"201800000380",18,6,26,"1","2",760
"201800000381",18,7,4,"2","1",760
"201800000382",18,7,4,"1","1",760
"201800000383",18,7,9,"1","1",760
"201800000384",18,9,26,"1","1",760
"201800000385",18,10,12,"2","1",760
"201800000386",18,12,4,"2","1",760
"201800000387",18,12,13,"1","1",760
"201800000388",18,5,16,"1","1",760
"201800000389",18,6,9,"4","1",760
"201800000390",18,9,17,"1","1",760
"201800000391",18,11,2,"1","1",760
"201800000392",18,12,16,"5","1",760
"201800000393",18,2,17,"2","2",760
"201800000394",18,4,1,"2","1",760
"201800000395",18,4,20,"1","2",760
"201800000396",18,5,13,"1","2",760
"201800000397",18,5,24,"1","1",760
"201800000398",18,10,1,"1","1",760
"201800000399",18,11,1,"1","1",760
"201800000400",18,12,17,"1","2",760
"201800000401",18,3,16,"1","1",270
"201800000402",18,3,28,"1","1",270
"201800000403",18,8,29,"1","1",270
"201800000404",18,10,30,"1","1",270
"201800000405",18,1,10,"5","2",270
"201800000406",18,1,27,"3","1",270
"201800000407",18,2,14,"5","2",270
"201800000408",18,3,25,"3","1",270
"201800000409",18,3,26,"1","2",270
"201800000410",18,4,28,"3","2",270
"201800000411",18,5,5,"1","1",270
"201800000412",18,5,24,"1","2",270
"201800000413",18,5,31,"1","1",270
"201800000414",18,6,16,"1","2",270
"201800000415",18,6,29,"1","1",270
"201800000416",18,7,6,"1","1",270
"201800000417",18,7,12,"1","1",270
"201800000418",18,7,27,"1","2",270
"201800000419",18,7,28,"1","1",270
"201800000420",18,8,4,"1","1",270
"201800000421",18,8,11,"2","1",270
"201800000422",18,8,31,"1","2",270
"201800000423",18,9,13,"1","2",270
"201800000424",18,10,23,"5","2",270
"201800000425",18,11,3,"3","1",270
"201800000426",18,12,14,"1","2",270
"201800000427",18,3,3,"1","1",270
"201800000428",18,4,8,"1","1",270
"201800000429",18,5,10,"5","2",270
"201800000430",18,5,12,"1","2",270
"201800000431",18,6,16,"1","1",270
"201800000432",18,6,30,"1","2",270
"201800000433",18,9,5,"2","2",270
"201800000434",18,9,10,"1","1",270
"201800000435",18,9,24,"1","1",270
"201800000436",18,9,26,"2","2",270
"201800000437",18,10,23,"3","1",270
"201800000438",18,11,25,"4","2",270
"201800000439",18,3,11,"2","1",270
"201800000440",18,3,14,"1","2",270
"201800000441",18,6,1,"1","2",270
"201800000442",18,6,3,"1","2",270
"201800000443",18,6,17,"1","1",270
"201800000444",18,7,9,"3","1",270
"201800000445",18,7,27,"1","2",270
"201800000446",18,8,26,"1","1",270
"201800000447",18,11,15,"1","2",270
"201800000448",18,4,16,"2","2",270
"201800000449",18,6,29,"1","1",270
"201800000450",18,10,4,"1","2",270
"201800000451",18,10,27,"3","1",270
"201800000452",18,12,1,"3","1",270
"201800000453",18,4,6,"1","1",270
"201800000454",18,8,1,"1","1",270
"201800000455",18,8,22,"1","2",270
"201800000456",18,9,29,"1","2",270
"201800000457",18,11,29,"1","1",270
"201800000458",18,1,8,"1","1",270
"201800000459",18,2,5,"1","1",270
"201800000460",18,2,27,"1","2",270
"201800000461",18,3,25,"1","2",270
"201800000462",18,5,7,"1","1",270
"201800000463",18,6,30,"1","1",270
"201800000464",18,7,24,"1","2",270
"201800000465",18,8,31,"1","1",270
"201800000466",18,9,2,"2","1",270
"201800000467",18,9,21,"1","1",270
"201800000468",18,9,23,"3","1",270
"201800000469",18,11,7,"1","2",270
"201800000470",18,11,10,"3","1",270
"201800000471",18,11,15,"3","1",270
"201800000472",18,11,23,"5","1",270
"201800000473",18,12,11,"2","1",270
"201800000474",18,12,12,"3","1",270
"201800000475",18,12,20,"3","1",270
"201800000476",18,2,24,"1","1",270
"201800000477",18,5,2,"1","2",270
"201800000478",18,5,28,"1","2",270
"201800000479",18,6,29,"1","2",270
"201800000480",18,7,26,"1","1",270
"201800000481",18,8,26,"3","1",270
"201800000482",18,9,6,"2","2",270
"201800000483",18,4,1,"1","1",350
"201800000484",18,5,8,"1","2",350
"201800000485",18,6,21,"1","2",350
"201800000486",18,11,13,"1","2",350
"201800000487",18,12,14,"2","2",350
"201800000488",18,2,26,"1","2",350
"201800000489",18,4,9,"1","1",350
"201800000490",18,6,20,"1","1",350
"201800000491",18,6,29,"1","2",350
"201800000492",18,9,26,"1","1",350
"201800000493",18,12,12,"4","2",350
"201800000494",18,6,2,"1","1",350
"201800000495",18,7,8,"1","2",350
"201800000496",18,7,31,"1","1",350
"201800000497",18,11,24,"1","2",350
"201800000498",18,1,8,"3","1",350
"201800000499",18,2,22,"1","1",350
"201800000500",18,6,23,"1","2",350
"201800000501",18,7,14,"1","1",350
"201800000502",18,7,27,"1","1",350
"201800000503",18,8,2,"3","1",350
"201800000504",18,11,9,"3","1",350
"201800000505",18,11,11,"4","2",350
"201800000506",18,11,21,"3","2",350
"201800000507",18,12,21,"4","1",350
"201800000508",18,1,6,"1","1",350
"201800000509",18,1,23,"1","1",350
"201800000510",18,1,24,"3","1",350
"201800000511",18,2,12,"1","2",350
"201800000512",18,3,10,"1","2",350
"201800000513",18,7,9,"1","2",350
"201800000514",18,10,16,"5","1",350
"201800000515",18,11,14,"3","1",350
"201800000516",18,11,15,"3","1",350
"201800000517",18,12,11,"3","1",350
